GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stringhold-liqp,com.kohlschutter.stringhold.liqp,StringsOnlyRenderTransformer.new RenderTransformer.ObjectAppender.Controller() {...},0,110,0,2,0,24,0,8,0,7
stringhold-liqp,com.kohlschutter.stringhold.liqp,Conditionally,0,47,0,0,0,12,0,4,0,4
stringhold-liqp,com.kohlschutter.stringhold.liqp,StringsOnlyRenderTransformer,0,17,0,0,0,4,0,4,0,4
stringhold-liqp,com.kohlschutter.stringhold.liqp,Conditional,0,113,0,12,0,29,0,12,0,5
stringhold-liqp,com.kohlschutter.stringhold.liqp,StringHolderRenderTransformer.new RenderTransformer.ObjectAppender.Controller() {...},0,86,0,2,0,18,0,6,0,5
stringhold-liqp,com.kohlschutter.stringhold.liqp,StringholdLiqpHelper,0,35,0,2,0,10,0,4,0,3
stringhold-liqp,com.kohlschutter.stringhold.liqp,StringHolderRenderTransformer,0,137,0,12,0,33,0,17,0,11
